1.17,52.39,51.929,51.615,51.387,51.216
1.18,52.404,51.942,51.626,51.397,51.225
1.19,52.419,51.955,51.637,51.407,51.234
1.2,52.433,51.967,51.648,51.417,51.243
1.21,52.447,51.98,51.66,51.427,51.252
1.22,52.461,51.993,51.671,51.437,51.26
1.23,52.475,52.005,51.682,51.447,51.269
1.24,52.489,52.017,51.693,51.457,51.278
1.25,52.503,52.03,51.704,51.467,51.287
1.26,52.517,52.042,51.715,51.477,51.296
1.27,52.531,52.055,51.726,51.486,51.305
1.28,52.545,52.067,51.737,51.496,51.314
1.29,52.558,52.079,51.747,51.506,51.322
1.3,52.572,52.091,51.758,51.515,51.331
1.31,52.585,52.103,51.769,51.525,51.34
1.32,52.598,52.115,51.78,51.535,51.348
1.33,52.612,52.127,51.791,51.544,51.357
1.34,52.625,52.139,51.801,51.554,51.366
1.35,52.638,52.151,51.812,51.564,51.374
1.36,52.651,52.163,51.822,51.573,51.383
1.37,52.664,52.175,51.833,51.583,51.392
1.38,52.677,52.186,51.844,51.592,51.4
1.39,52.69,52.198,51.854,51.602,51.409
1.4,52.703,52.21,51.865,51.611,51.417
1.41,52.716,52.221,51.875,51.62,51.426
1.42,52.728,52.233,51.885,51.63,51.434
1.43,52.741,52.244,51.896,51.639,51.443
1.44,52.753,52.256,51.906,51.648,51.451
1.45,52.766,52.267,51.916,51.658,51.46
1.46,52.778,52.279,51.927,51.667,51.468
1.47,52.79,52.29,51.937,51.676,51.477
1.48,52.803,52.301,51.947,51.685,51.485
1.49,52.815,52.313,51.957,51.695,51.493
1.5,52.827,52.324,51.967,51.704,51.502
1.51,52.839,52.335,51.977,51.713,51.51
1.52,52.851,52.346,51.987,51.722,51.518
1.53,52.863,52.357,51.998,51.731,51.527
1.54,52.875,52.368,52.008,51.74,51.535
1.55,52.887,52.379,52.017,51.749,51.543
1.56,52.898,52.39,52.027,51.758,51.551
1.57,52.91,52.401,52.037,51.767,51.559
1.58,52.921,52.411,52.047,51.776,51.568
1.59,52.933,52.422,52.057,51.785,51.576
1.6,52.944,52.433,52.067,51.794,51.584
1.61,52.956,52.444,52.077,51.803,51.592
1.62,52.967,52.454,52.086,51.812,51.6
1.63,52.978,52.465,52.096,51.821,51.608
1.64,52.99,52.475,52.106,51.83,51.616
1.65,53.001,52.486,52.115,51.838,51.624
1.66,53.012,52.496,52.125,51.847,51.632
1.67,53.023,52.507,52.134,51.856,51.64
1.68,53.034,52.517,52.144,51.865,51.648
1.69,53.045,52.527,52.153,51.873,51.656
1.7,53.056,52.538,52.163,51.882,51.664
1.71,53.066,52.548,52.172,51.891,51.672
1.72,53.077,52.558,52.182,51.899,51.68
1.73,53.088,52.568,52.191,51.908,51.688
1.74,53.098,52.578,52.201,51.916,51.696
1.75,53.109,52.588,52.21,51.925,51.704
1.76,53.119,52.598,52.219,51.933,51.712
1.77,53.13,52.608,52.228,51.942,51.719
1.78,53.14,52.618,52.238,51.95,51.727
1.79,53.15,52.628,52.247,51.959,51.735
1.8,53.161,52.638,52.256,51.967,51.743
1.81,53.171,52.648,52.265,51.976,51.751
1.82,53.181,52.658,52.274,51.984,51.758
1.83,53.191,52.668,52.283,51.993,51.766
1.84,53.201,52.677,52.292,52.001,51.774
1.85,53.211,52.687,52.301,52.009,51.781
1.86,53.221,52.696,52.31,52.017,51.789
1.87,53.231,52.706,52.319,52.026,51.797
1.88,53.241,52.716,52.328,52.034,51.804
1.89,53.25,52.725,52.337,52.042,51.812
1.9,53.26,52.735,52.346,52.05,51.819
1.91,53.27,52.744,52.355,52.059,51.827
1.92,53.279,52.753,52.364,52.067,51.835
1.93,53.289,52.763,52.372,52.075,51.842
1.94,53.298,52.772,52.381,52.083,51.85
1.95,53.308,52.781,52.39,52.091,51.857
1.96,53.317,52.79,52.398,52.099,51.865
1.97,53.326,52.8,52.407,52.107,51.872
1.98,53.336,52.809,52.416,52.115,51.879
1.99,53.345,52.818,52.424,52.123,51.887
2,53.354,52.827,52.433,52.131,51.894
2.01,53.363,52.836,52.441,52.139,51.902
2.02,53.372,52.845,52.45,52.147,51.909
2.03,53.381,52.854,52.458,52.155,51.916
2.04,53.39,52.863,52.467,52.163,51.924
2.05,53.399,52.872,52.475,52.171,51.931
2.06,53.408,52.881,52.484,52.179,51.938
2.07,53.417,52.889,52.492,52.186,51.946
2.08,53.426,52.898,52.5,52.194,51.953
2.09,53.434,52.907,52.509,52.202,51.96
2.1,53.443,52.916,52.517,52.21,51.967
2.11,53.452,52.924,52.525,52.218,51.975
2.12,53.46,52.933,52.534,52.225,51.982
2.13,53.469,52.942,52.542,52.233,51.989
2.14,53.477,52.95,52.55,52.241,51.996
2.15,53.486,52.959,52.558,52.248,52.003
2.16,53.494,52.967,52.566,52.256,52.01
2.17,53.502,52.976,52.574,52.264,52.017
2.18,53.511,52.984,52.582,52.271,52.025
2.19,53.519,52.992,52.59,52.279,52.032
2.2,53.527,53.001,52.598,52.286,52.039
2.21,53.535,53.009,52.606,52.294,52.046
