"Location: W086 55, N40 26",,,,,Astronomical Applications Dept.
"WEST LAFAYETTE, INDIANA",,,,,U. S. Naval Observatory
Rise and Set for the Sun for 2016 ,,,,,"Washington, DC  20392-5420"
,,,,,
Eastern Standard Time,,,,,
,,,,,
Day of Year,Sunrise Time (hhmm),Sunset Time (hhmm),,,
304,716,1746,,,
305,717,1745,,,
306,718,1744,,,
307,719,1743,,,
308,720,1742,,,
309,722,1740,,,
310,723,1739,,,
311,724,1738,,,
312,725,1737,,,
313,726,1736,,,
314,727,1735,,,
315,729,1734,,,
316,730,1733,,,
317,731,1732,,,
318,732,1732,,,
319,733,1731,,,
320,734,1730,,,
321,736,1729,,,
322,737,1728,,,
323,738,1728,,,
324,739,1727,,,
325,740,1726,,,
326,741,1726,,,
327,742,1725,,,
328,744,1725,,,
329,745,1724,,,
330,746,1724,,,
331,747,1723,,,
332,748,1723,,,
333,749,1722,,,
334,750,1722,,,
335,751,1722,,,
336,752,1722,,,
337,753,1721,,,
338,754,1721,,,
339,755,1721,,,
340,756,1721,,,
341,757,1721,,,
342,758,1721,,,
343,759,1721,,,
344,759,1721,,,
345,800,1721,,,
346,801,1721,,,
347,802,1721,,,
348,803,1722,,,
349,803,1722,,,
350,804,1722,,,
351,805,1722,,,
352,805,1723,,,
353,806,1723,,,
354,806,1724,,,
355,807,1724,,,
356,808,1725,,,
357,808,1725,,,
358,808,1726,,,
359,809,1726,,,
360,809,1727,,,
361,810,1728,,,
362,810,1728,,,
363,810,1729,,,
364,810,1730,,,
365,811,1730,,,
366,811,1731,,,
